timestamp,event_id,work_id,phase,from_status,to_status,evidence,note
2026-07-14T00:00:00+08:00,EVT-0001,P4-002,P4,PENDING,IMPLEMENTED_UNTESTED,"src/components/Environment/SurfaceDetailLayer.jsx;src/utils/placementGeometry.js","地表草叢、花朵、落葉與雨天積水已寫入，等待 Runtime 畫面驗證"
2026-07-14T00:00:01+08:00,EVT-0002,P4-003,P4,PENDING,IMPLEMENTED_UNTESTED,"src/data/indoorZones.js;src/components/Environment/WorldEnvironment.jsx","村莊與農場室內區域及室內隔雨判斷已寫入"
2026-07-14T00:00:02+08:00,EVT-0003,P4-004,P4,PENDING,IMPLEMENTED_UNTESTED,"src/systems/npcSchedule.js;src/components/NPC/VillageNPCs.jsx;src/components/NPC/VillageLifeNPCs.jsx;src/components/NPC/FarmLifeNPCs.jsx","角色工作、休息、避雨與商店營業判斷已接線"
2026-07-14T00:00:03+08:00,EVT-0004,P4-005,P4,PENDING,IMPLEMENTED_UNTESTED,"src/services/InteriorValidationService.js;src/data/interiorDefinitions.js","11 棟村莊建築與農舍/穀倉室內結構驗證已建立"
2026-07-14T00:00:04+08:00,EVT-0005,P4-006,P4,PENDING,IMPLEMENTED_UNTESTED,"src/components/World/VillageKit.jsx;src/components/World/FarmKit.jsx","村莊建築、農舍與穀倉加入分件牆體、入口、家具 Collider 與屋頂/前牆隱藏"
2026-07-14T00:00:05+08:00,EVT-0006,P4-007,P4,IMPLEMENTED_UNRESOLVED,IMPLEMENTED_UNTESTED,"src/data/villageLayout.js;src/services/PlacementValidationService.js","重新配置道路與建築，靜態 Validator 已達 0 Error/0 Warning，等待 Runtime"
2026-07-14T00:00:06+08:00,EVT-0007,P4-001,P4,IMPLEMENTED_UNTESTED,IMPLEMENTED_UNTESTED,"src/App.jsx;src/components/Environment/WorldEnvironment.jsx;src/store/useStore.js","全域唯一時間/天氣環境已接線並持久化，等待跨場景 Runtime"
2026-07-14T00:00:07+08:00,EVT-0008,P5-002,P5,PENDING,IMPLEMENTED_UNTESTED,"src/components/Entities/Boss.jsx","移除點擊 Boss 直接造成傷害的測試捷徑"
2026-07-14T01:00:00+08:00,EVT-0009,P1-003,P1,PENDING,IMPLEMENTED_UNTESTED,"src/hooks/useGamepad.js;src/App.jsx;docs/BUILD_20260714_qa06.txt","遊戲手把移動、鏡頭、跳躍、翻滾與攻擊已接線，等待實機 Runtime"
2026-07-14T01:00:01+08:00,EVT-0010,P3-001,P3,PENDING,IMPLEMENTED_UNTESTED,"src/components/UI/CharacterCreationPanel.jsx;src/components/3D/PlayerAvatar.jsx;src/store/useStore.js","角色建立、模組化外觀與持久化已寫入，等待 Runtime"
2026-07-14T01:00:02+08:00,EVT-0011,P1-004,P1,PENDING,IMPLEMENTED_UNTESTED,"src/components/UI/DefeatPanel.jsx;src/components/3D/Player.jsx;src/store/useStore.js","失敗/復活流程取代立即自動復活，等待 Runtime"
2026-07-14T01:00:03+08:00,EVT-0012,P5-001,P5,PENDING,IMPLEMENTED_UNTESTED,"src/components/UI/HUD.jsx;src/components/UI/WorldClockWidget.jsx;src/components/UI/GameMenu.jsx;src/components/UI/Joystick.jsx;src/components/UI/QuestTracker.jsx;src/components/UI/QuickItemBar.jsx;src/components/UI/FairyGuide.jsx;src/components/UI/DailyReward.jsx","兒童 UI 第二輪佈局與視覺重構已寫入，等待多裝置 Runtime"
2026-07-14T01:00:04+08:00,EVT-0013,P5-003,P5,PENDING,IMPLEMENTED_UNTESTED,"src/data/skillGraph.js;src/services/SkillGraphValidationService.js;src/utils/MathEngine.js;src/components/Minigames/MathModal.jsx","132 節點 Skill Graph、擴充題型、提示與重試已寫入，靜態 Validator 通過，等待 Runtime/教育內容 QA"
2026-07-14T01:00:05+08:00,EVT-0014,P2-006,P2,PENDING,IMPLEMENTED_UNTESTED,"src/data/trialTower.js;src/services/TrialTowerValidationService.js;src/components/Entities/TrialFloorController.jsx;src/components/Scenes/TrialTowerScene.jsx;src/store/useStore.js","100 層資料、10 主題/里程碑 Boss、房型與獎勵防刷已寫入，等待逐層 Runtime"
2026-07-14T01:00:06+08:00,EVT-0015,P2-006,P2,IMPLEMENTED_UNTESTED,IMPLEMENTED_UNTESTED,"src/components/Entities/TrialFloorController.jsx;docs/VALIDATION_20260714_qa06.txt;docs/BUILD_20260714_qa06.txt","修正試煉塔謎題答錯後不會重新開題的停滯問題"
2026-07-14T01:00:07+08:00,EVT-0016,QA-001,QA,PENDING,IMPLEMENTED_UNTESTED,"src/qa/QaBridge.jsx;scripts/runtime-qa.mjs;docs/RUNTIME_20260714_BLOCKED.md","建立不影響玩家流程的 QA Bridge 與外部 Runtime 自動化腳本；目前平台政策阻擋執行"
2026-07-14T01:00:08+08:00,EVT-0017,GOV-001,GOV,PENDING,IMPLEMENTED_UNTESTED,"docs/FILE_DIFF_20260714_P1P5.txt;docs/CHANGESET_20260714_P1P5.md;docs/REMAINING_SCOPE_20260714.md","建立基準差異、變更集與未完成範圍紀錄"
2026-07-14T01:00:09+08:00,EVT-0018,GOV-002,GOV,PENDING,IMPLEMENTED_UNTESTED,"package.json;package-lock.json;docs/BUILD_20260714_qa08.txt;docs/VALIDATION_20260714_qa08.txt;docs/DEPENDENCY_AUDIT_20260714_qa08.json","版本鎖定同步為 0.15.0；Build/Static Audit/Production dependency audit 完成，Runtime 仍 BLOCKED"
2026-07-14T02:00:00+08:00,EVT-0019,P4-008,P4,IMPLEMENTED_UNTESTED,VERIFIED,"src/data/farmProgression.js;src/services/FarmProgressionValidationService.js;docs/SIMULATION_20260714_v016.txt","Lv1-Lv5 canonical progression, 9/25/49 plots and five level validations passed"
2026-07-14T02:00:01+08:00,EVT-0020,P4-009,P4,PENDING,VERIFIED,"src/systems/farmSimulation.js;src/store/farmStore.js;docs/SIMULATION_20260714_v016.txt","World-time crop lifecycle, rain moisture, withering, climate protection and animal cooldown logic passed"
2026-07-14T02:00:02+08:00,EVT-0021,P4-010,P4,PENDING,IMPLEMENTED_UNTESTED,"src/components/UI/HomeInteriorPanel.jsx;src/components/World/FarmKit.jsx;src/components/UI/CharacterCreationPanel.jsx","Rest/storage/wardrobe and indoor interaction hotspots implemented; browser visual verification blocked"
2026-07-14T02:00:03+08:00,EVT-0022,P4-011,P4,PENDING,IMPLEMENTED_UNTESTED,"src/components/Environment/SkyWeatherLayer.jsx;src/components/Environment/WorldEnvironment.jsx","Cloud and moon presentation implemented; browser visual verification blocked"
2026-07-14T02:00:04+08:00,EVT-0023,QA-002,QA,PENDING,VERIFIED,"scripts/run-simulation-tests.mjs;docs/SIMULATION_20260714_v016.txt","Seven deterministic simulation cases passed"
2026-07-14T02:00:05+08:00,EVT-0024,QA-003,QA,IMPLEMENTED_UNTESTED,BLOCKED,"scripts/runtime-qa.mjs;src/qa/QaBridge.jsx;docs/RUNTIME_ATTEMPT_20260714_v016.txt","Vite served HTTP 200 but managed Chromium returned ERR_BLOCKED_BY_ADMINISTRATOR"
2026-07-14T02:00:06+08:00,EVT-0025,GOV-003,GOV,PENDING,VERIFIED,"docs/BUILD_20260714_v016.txt;docs/VALIDATION_20260714_v016.txt;docs/DEPENDENCY_AUDIT_20260714_v016.json","Build, audit, simulation and dependency evidence saved inside project"
2026-07-14T02:00:07+08:00,EVT-0026,GOV-004,GOV,PENDING,VERIFIED,"docs/FILE_DIFF_20260714_V016.txt;docs/FILE_DIFF_20260714_V016.json;scripts/run-audit.mjs","v0.15.0 to v0.16.0 exact file diff generated and v0.16 evidence chain enforced"
2026-07-14T02:00:08+08:00,EVT-0027,QA-004,QA,PENDING,VERIFIED,"docs/BUILD_20260714_v016.txt;docs/VALIDATION_20260714_v016.txt;docs/SIMULATION_20260714_v016.txt;docs/DEPENDENCY_AUDIT_20260714_v016.json","Final source build, static audit, deterministic simulation and production dependency audit rerun"
2026-07-14T02:00:09+08:00,EVT-0028,GOV-005,GOV,PENDING,IMPLEMENTED_UNTESTED,"mathquest-3d-v0.16.0-world-simulation-engineering-build.zip","Clean engineering package prepared without node_modules; runtime classification remains BLOCKED"
2026-07-14T04:00:00+08:00,EVT-0029,P2-007,P2,PENDING,IMPLEMENTED_UNTESTED,"src/data/regionProductionLayouts.js;src/components/World/RegionProductionKit.jsx;src/components/Scenes/RegionScene.jsx","八個非森林大區改為32個專屬子區、獨立道路拓樸、地形、水域、橋梁與邊界；等待瀏覽器走訪"
2026-07-14T04:00:01+08:00,EVT-0030,P2-008,P2,PENDING,IMPLEMENTED_UNTESTED,"src/data/physicalObjectCatalog.js;public/manifests/region-production-manifest.json","15種多元件結構Prefab，合計179個視覺部件、59個Collider、24個Socket；等待最終GLB替換與Runtime"
2026-07-14T04:00:02+08:00,EVT-0031,P3-002,P3,PENDING,IMPLEMENTED_UNTESTED,"src/components/3D/CharacterActorRig.jsx;src/components/3D/PlayerAvatar.jsx;src/data/characterPhysicalProfiles.js","玩家共用多元件Rig、手腳分件及裝備/互動Socket已接線；最終Skinned GLB與動畫未完成"
2026-07-14T04:00:03+08:00,EVT-0032,P3-003,P3,PENDING,IMPLEMENTED_UNTESTED,"src/components/NPC/VillageNPCs.jsx;src/components/NPC/VillageLifeNPCs.jsx","村莊功能NPC與生活NPC改為Kinematic RigidBody及CapsuleCollider並共用角色Rig；等待Runtime碰撞驗證"
2026-07-14T04:00:04+08:00,EVT-0033,QA-005,QA,PENDING,VERIFIED,"src/services/RegionProductionValidationService.js;src/services/CharacterPhysicalValidationService.js;docs/REGION_PRODUCTION_TEST_20260714_V017.json","8區/32子區/32結構/9橋梁與角色物理規格驗證0 Error/0 Warning"
2026-07-14T04:00:05+08:00,EVT-0034,GOV-006,GOV,PENDING,VERIFIED,"docs/REGION_PRODUCTION_MATRIX.csv;docs/CHARACTER_PHYSICAL_MATRIX.csv;docs/FILE_DIFF_20260714_V017.txt;docs/CHANGESET_20260714_V017_REGION_CHARACTER_PRODUCTION.md","建立可重建Manifest、矩陣、精確差異與變更集"
2026-07-14T04:00:06+08:00,EVT-0035,QA-006,QA,PENDING,VERIFIED,"docs/BUILD_20260714_V017.txt;docs/SIMULATION_20260714_V017.txt;docs/DEPENDENCY_AUDIT_20260714_V017.json","Production Build、7/7模擬與Production dependency audit通過"
2026-07-14T04:00:07+08:00,EVT-0036,QA-007,QA,PENDING,BLOCKED,"docs/RUNTIME_HTTP_20260714_V017.txt;docs/RUNTIME_20260714_V017.md;scripts/runtime-qa.mjs","Vite HTTP 200；實際瀏覽器WebGL因可用瀏覽器環境受限而未驗證"
2026-07-14T06:05:00+08:00,EVT-0037,P2-009,P2,PENDING,VERIFIED,"src/data/regionEncounters.js;src/components/Entities/RegionEncounterLayer.jsx","八區接入24一般怪、8精英、8 Boss，Canonical 遭遇資料與分層生命週期完成"
2026-07-14T06:05:01+08:00,EVT-0038,P3-004,P3,PENDING,VERIFIED,"src/components/3D/AnimatedProductionModel.jsx;public/models/characters","玩家、成人NPC、兒童NPC Skinned GLB、Socket 與七組動畫 Clip 契約完成"
2026-07-14T06:05:02+08:00,EVT-0039,P2-010,P2,PENDING,VERIFIED,"public/models/regions;src/components/World/RegionProductionKit.jsx","15結構、1橋梁、40遭遇 GLB 已接入 Runtime，程序化視覺保留為載入備援"
