"chapter_order","chapter_id","region_id","chapter_title","unlocks_region_id","quest_id","quest_title","objective_type","target_id","tier","reward_gold","learning_focus"
"1","chapter_star","star_village","第一章｜星圖課堂","farm_plains","chapter_star_explore","找到第一個線索","visit","village_outskirts","","80","規律與序列"
"1","chapter_star","star_village","第一章｜星圖課堂","farm_plains","chapter_star_mechanic","完成場景機關","mechanic","star_outskirts_marker","","100","規律與序列"
"1","chapter_star","star_village","第一章｜星圖課堂","farm_plains","chapter_star_structure","回報區域據點","structure","learning_hall:entry","","120","規律與序列"
"1","chapter_star","star_village","第一章｜星圖課堂","farm_plains","chapter_star_elite","突破精英封鎖","defeat","star_elite","elite","160","戰術觀察與數量"
"1","chapter_star","star_village","第一章｜星圖課堂","farm_plains","chapter_star_boss","完成章節封印","defeat","star_boss","boss","260","規律與序列"
"2","chapter_farm","farm_plains","第二章｜豐收方陣","wind_highlands","chapter_farm_explore","找到第一個線索","visit","sunny_orchard","","80","乘法與陣列"
"2","chapter_farm","farm_plains","第二章｜豐收方陣","wind_highlands","chapter_farm_mechanic","完成場景機關","mechanic","farm_orchard_rows","","100","乘法與陣列"
"2","chapter_farm","farm_plains","第二章｜豐收方陣","wind_highlands","chapter_farm_structure","回報區域據點","structure","sunny_orchard_barn:entry","","120","乘法與陣列"
"2","chapter_farm","farm_plains","第二章｜豐收方陣","wind_highlands","chapter_farm_elite","突破精英封鎖","defeat","farm_elite","elite","160","戰術觀察與數量"
"2","chapter_farm","farm_plains","第二章｜豐收方陣","wind_highlands","chapter_farm_boss","完成章節封印","defeat","farm_boss","boss","260","乘法與陣列"
"3","chapter_wind","wind_highlands","第三章｜風之方向","crystal_lake","chapter_wind_explore","找到第一個線索","visit","breeze_meadow","","80","角度與方向"
"3","chapter_wind","wind_highlands","第三章｜風之方向","crystal_lake","chapter_wind_mechanic","完成場景機關","mechanic","wind_vane_meadow","","100","角度與方向"
"3","chapter_wind","wind_highlands","第三章｜風之方向","crystal_lake","chapter_wind_structure","回報區域據點","structure","wind_station_a:entry","","120","角度與方向"
"3","chapter_wind","wind_highlands","第三章｜風之方向","crystal_lake","chapter_wind_elite","突破精英封鎖","defeat","wind_elite","elite","160","戰術觀察與數量"
"3","chapter_wind","wind_highlands","第三章｜風之方向","crystal_lake","chapter_wind_boss","完成章節封印","defeat","wind_boss","boss","260","角度與方向"
"4","chapter_crystal","crystal_lake","第四章｜稜鏡回聲","mushroom_grove","chapter_crystal_explore","找到第一個線索","visit","shimmering_shore","","80","對稱與幾何"
"4","chapter_crystal","crystal_lake","第四章｜稜鏡回聲","mushroom_grove","chapter_crystal_mechanic","完成場景機關","mechanic","crystal_shore_prism","","100","對稱與幾何"
"4","chapter_crystal","crystal_lake","第四章｜稜鏡回聲","mushroom_grove","chapter_crystal_structure","回報區域據點","structure","shimmering_dock:fishing","","120","對稱與幾何"
"4","chapter_crystal","crystal_lake","第四章｜稜鏡回聲","mushroom_grove","chapter_crystal_elite","突破精英封鎖","defeat","crystal_elite","elite","160","戰術觀察與數量"
"4","chapter_crystal","crystal_lake","第四章｜稜鏡回聲","mushroom_grove","chapter_crystal_boss","完成章節封印","defeat","crystal_boss","boss","260","對稱與幾何"
"5","chapter_mushroom","mushroom_grove","第五章｜孢子節拍","sun_canyon","chapter_mushroom_explore","找到第一個線索","visit","bubblecap_trail","","80","倍數與節奏"
"5","chapter_mushroom","mushroom_grove","第五章｜孢子節拍","sun_canyon","chapter_mushroom_mechanic","完成場景機關","mechanic","mushroom_bubblecap_beat","","100","倍數與節奏"
"5","chapter_mushroom","mushroom_grove","第五章｜孢子節拍","sun_canyon","chapter_mushroom_structure","回報區域據點","structure","bubblecap_house:entry","","120","倍數與節奏"
"5","chapter_mushroom","mushroom_grove","第五章｜孢子節拍","sun_canyon","chapter_mushroom_elite","突破精英封鎖","defeat","mushroom_elite","elite","160","戰術觀察與數量"
"5","chapter_mushroom","mushroom_grove","第五章｜孢子節拍","sun_canyon","chapter_mushroom_boss","完成章節封印","defeat","mushroom_boss","boss","260","倍數與節奏"
"6","chapter_canyon","sun_canyon","第六章｜峽谷測量","snow_valley","chapter_canyon_explore","找到第一個線索","visit","golden_ravine","","80","長度與估算"
"6","chapter_canyon","sun_canyon","第六章｜峽谷測量","snow_valley","chapter_canyon_mechanic","完成場景機關","mechanic","canyon_ravine_measure","","100","長度與估算"
"6","chapter_canyon","sun_canyon","第六章｜峽谷測量","snow_valley","chapter_canyon_structure","回報區域據點","structure","rope_station:bridge_entry","","120","長度與估算"
"6","chapter_canyon","sun_canyon","第六章｜峽谷測量","snow_valley","chapter_canyon_elite","突破精英封鎖","defeat","canyon_elite","elite","160","戰術觀察與數量"
"6","chapter_canyon","sun_canyon","第六章｜峽谷測量","snow_valley","chapter_canyon_boss","完成章節封印","defeat","canyon_boss","boss","260","長度與估算"
"7","chapter_snow","snow_valley","第七章｜極光之鏡","clockwork_ruins","chapter_snow_explore","找到第一個線索","visit","frostflower_meadow","","80","溫度與負數"
"7","chapter_snow","snow_valley","第七章｜極光之鏡","clockwork_ruins","chapter_snow_mechanic","完成場景機關","mechanic","snow_heat_flower","","100","溫度與負數"
"7","chapter_snow","snow_valley","第七章｜極光之鏡","clockwork_ruins","chapter_snow_structure","回報區域據點","structure","frostflower_altar:altar","","120","溫度與負數"
"7","chapter_snow","snow_valley","第七章｜極光之鏡","clockwork_ruins","chapter_snow_elite","突破精英封鎖","defeat","snow_elite","elite","160","戰術觀察與數量"
"7","chapter_snow","snow_valley","第七章｜極光之鏡","clockwork_ruins","chapter_snow_boss","完成章節封印","defeat","snow_boss","boss","260","溫度與負數"
"8","chapter_clockwork","clockwork_ruins","第八章｜時序核心","","chapter_clockwork_explore","找到第一個線索","visit","gear_courtyard","","80","邏輯與時序"
"8","chapter_clockwork","clockwork_ruins","第八章｜時序核心","","chapter_clockwork_mechanic","完成場景機關","mechanic","clockwork_courtyard_gear","","100","邏輯與時序"
"8","chapter_clockwork","clockwork_ruins","第八章｜時序核心","","chapter_clockwork_structure","回報區域據點","structure","clock_core_main:clock_console","","120","邏輯與時序"
"8","chapter_clockwork","clockwork_ruins","第八章｜時序核心","","chapter_clockwork_elite","突破精英封鎖","defeat","clockwork_elite","elite","160","戰術觀察與數量"
"8","chapter_clockwork","clockwork_ruins","第八章｜時序核心","","chapter_clockwork_boss","完成章節封印","defeat","clockwork_boss","boss","260","邏輯與時序"
